Players from how many teams have participated in the National Hockey League?,1
What is the base currency of Benelux?,0
Name the route start of Saint Petersburg  Moscow Railway ?,0
Count all the books written by an author buried in the Convent of Barefoot Trinitarians?,0
Does Jean Louis Arcand work for Geneva?,0
How many have family as Ape and order (taxonomy) is Primate ?,1
Katharevousa writers have been given which awards?,0
Whose children are married to Fredric Joliot-Curie?,0
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?,1
"Where did they debut their careers, those who have played for US men's national soccer team?",0
List down the opponents of Frank Stilwell?,0
Mike Shinoda is in which band?,1
Name the television program voiced by Isaac Hayes and aired on Comedy Central?,3
Is morrissey in the smiths?,1
Name the river mouth of Moordener Kill ?,4
Name the people living in a place governed by William W Brien?,0
Which fictional character is portrayed by Roger Barton (film editor)?,1
Which series are Lennier and Londo Mollari both from?,0
Who is the commander of Battle of Brownstown?,3
What is the birth place of the children of Miguel Garca Granados?,0
Who is the owner of the bank where Thomas Secunda works?,1
Which awards have been given to the horse who sired Triplicate?,0
In which areas can I find wine made of Vitis vinifera grapes?,0
Who has starred in the amusement park attractions where Jim Dooley was performing?,0
Which borough of the Corringham railway station is also the local authority of Buckhurst Hill County High School ?,1
What is the death place of the Marina Pankova and Viktor Ulyanich?,0
Count the writers whose work has been played in NY?,0
How many have been venerated in Islam and Judaism?,3
Who is the office holder whose resting place is Monticello?,3
What is the ideology of the Union of Cambodian Democrats which is also the ideology of Palang Dharma Party ?,0
What tv series can be said to be related to the sarah jane adventure and dr who confidential?,0
Which railway line goes through the stations which are a part of the North Caucasus railway?,0
How many awards have screenwriters won?,0
Where common region are soylent and bannock sold?,0
Who are the shareholders of the soccer club for whom Steve Holland plays?,0
What are the track and field events of Jamiatu Muslim Mindanao?,0
How many people work in the Massachusetts house of Representatives?,1
List the teams for which Bobby Hoppe played ?,3
Name the constituency of Domenico Modugno?,2
In which fields are both Paul Demiville and Sylvain levi experts?,0
Who is the father of Edith Vonnegut and is also a writer?,1
Who succeeded Lucius Crus as an office holder?,1
